AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,AM_4,AOA,COA,CG,OS,AOA_Lab,CG_Lab,PA_Lab,OS_Lab,OST_LAB,OOPM_A,AM_3_A,DS_A,DLDA_A,DIS_A,ECCF_A,DLDA_Lab_A,DS_Lab_A,OOPM_Lab_A,ECCF_Lab_A,AM_3_Tutorial_A,GPA_SEMIII,GPA_SEMIV
82,61,76,54,58,45,41,41,88,86,79,77,69,70,42,38,37,41,42,69.565,76.1,78.571,73,82.2,82.979,100,80,100,91.67,87.5,8.15,8.85
60,47,60,47,64,43,42,43,88,64,73,64,61,74,43,44,41,46,39,78.261,67.4,83.333,89,88.9,85.106,100,90,100,100,75,6.96,7.89
90,58,89,67,70,43,43,43,85,86,87,74,71,73,43,40,38,41,37,73.913,73.9,83.333,87,86.7,74.468,90,100,100,100,100,8.62,8.93
70,53,65,56,56,44,43,44,84,59,48,48,62,68,46,39,37,41,39,82.609,97.8,95.238,91,95.6,78.723,80,100,88.89,100,87.5,7.31,6.8
62,35,60,52,40,33,35,39,84,71,68,71,75,76,42,37,34,40,37,39.13,50,40.476,80,48.9,38.298,70,50,55.56,41.67,50,6.27,8.26
85,66,81,53,71,46,40,42,86,79,83,81,78,86,43,39,41,45,40,52.174,60.9,80.952,82,75.6,70.213,100,90,100,91.67,100,8.62,9.63
74,52,67,46,56,44,42,42,84,71,73,68,64,71,41,37,37,41,35,82.609,87,83.333,80,95.6,91.489,100,90,88.89,91.67,87.5,7.15,7.95
67,61,63,65,76,47,43,46,93,69,67,75,67,77,45,41,40,44,35,,,,,,,,,,,,7.88,8.11
40,40,42,44,39,36,39,40,90,42,52,71,62,79,39,38,37,44,37,,,,,,,,,,,,5.04,7.11
87,71,76,56,83,47,42,47,92,91,62,71,60,73,44,42,42,46,43,,,,,,,,,,,,8.92,8.52
69,44,56,56,58,44,41,45,92,51,56,69,60,73,42,40,39,44,34,,,,,,,,,,,,6.65,7.22
21,23,37,25,31,45,41,44,92,25,31,43,43,53,41,38,36,44,40,,,,,,,,,,,,0,0
46,51,57,61,59,41,41,41,92,56,65,68,61,78,43,40,40,42,39,,,,,,,,,,,,6.73,7.7
59,59,59,56,52,43,41,42,91,58,68,78,67,76,41,38,38,41,44,,,,,,,,,,,,6.77,8
74,65,66,60,58,45,42,39,90,65,69,77,71,75,41,41,40,42,44,,,,,,,,,,,,7.58,8.41
74,48,51,46,75,38,42,47,90,75,60,78,57,67,38,40,36,42,39,,,,,,,,,,,,7.27,8
32,41,40,41,41,27,39,43,88,40,46,59,48,65,45,38,36,42,37,,,,,,,,,,,,4.96,6.11
34,51,61,42,59,43,42,47,92,55,64,72,68,65,47,39,41,43,37,,,,,,,,,,,,6.23,7.44
45,27,47,42,41,28,39,46,86,41,56,73,61,59,44,38,35,44,37,,,,,,,,,,,,0,6.7
30,40,45,33,45,33,41,45,86,42,46,46,47,56,43,39,38,43,32,,,,,,,,,,,,0,5.78
44,49,44,45,47,41,41,45,91,45,49,54,62,68,42,40,38,43,35,,,,,,,,,,,,5.62,6.67
57,31,42,44,44,30,40,42,88,56,53,64,69,53,45,36,35,43,34,,,,,,,,,,,,0,6.81
39,26,43,15,36,40,38,44,94,32,46,25,46,53,45,30,38,41,38,,,,,,,,,,,,0,0
30,41,51,41,40,37,41,43,93,49,56,63,59,60,44,40,40,42,37,,,,,,,,,,,,0,6.85
55,61,66,47,64,46,40,44,90,68,66,63,64,50,43,41,42,43,46,,,,,,,,,,,,7.08,7.52
31,40,50,49,44,34,42,44,90,19,47,64,56,59,35,38,36,43,30,,,,,,,,,,,,0,0
47,35,43,47,42,36,41,43,89,47,55,68,62,67,41,39,39,45,35,,,,,,,,,,,,0,6.93
