AM4_SE,AM4_IA,AM4_TOT,AOA_SE,AOA_IA,AOA_TOT,COA_SE,COA_IA,COA_TOT,CG_SE,CG_IA,CG_TOT,OS_SE,OS_IA,OS_TOT,AOA_TW,AOA_OP,AOAL_TOT,CG_TW,CG_OP,CGL_TOT,PAL_TW,PAL_OP,PAL_TOT,OS_TW,OS_OP,OSL_TOT,OPST_TW,OPST_OP,OPST_TOT,GPA_SEM_4
51,12,,47,13,,32,6,,32,8,,32,13,,20,21,,17,17,,18,19,,18,20,,20,22,,6.26
47,18,,50,16,,48,16,,45,16,,63,17,,20,22,,21,23,,22,23,,23,23,,22,22,,8.11
60,16,,41,16,,40,11,,32,13,,52,17,,19,18,,20,21,,19,21,,18,20,,18,23,,7.33
46,12,,40,13,,39,10,,44,16,,59,17,,17,19,,19,20,,16,22,,19,20,,18,18,,7
61,16,,45,19,,35,10,,48,15,,55,18,,21,18,,21,22,,20,21,,22,22,,22,21,,7.85
32,11,,42,11,,34,8,,38,9,,42,10,,17,20,,19,20,,17,19,,18,18,,17,20,,5.67
57,18,,37,13,,43,12,,49,12,,33,14,,19,21,,20,19,,18,19,,16,19,,14,17,,7.04
55,18,,68,16,,51,11,,60,15,,63,14,,20,22,,20,18,,20,19,,19,19,,20,22,,8078
45,10,,41,8,,35,7,,51,8,,45,9,,13,17,,16,17,,15,20,,19,19,,19,19,,6.04
67,18,,39,16,,56,15,,68,16,,64,17,,23,20,,21,20,,19,20,,21,18,,21,22,,9.14
80,20,,54,17,,59,12,,65,13,,61,16,,18,20,,18,19,,19,20,,21,15,,20,22,,8.89
56,18,,47,16,,48,10,,50,12,,53,14,,20,19,,20,20,,22,21,,21,16,,19,20,,7.62
36,10,,35,15,,45,12,,52,12,,55,16,,16,17,,19,21,,20,22,,21,20,,21,22,,7.04
49,17,,48,17,,40,11,,59,9,,54,17,,18,19,,20,21,,19,20,,22,19,,22,23,,7.56
58,17,,63,16,,54,12,,61,16,,58,15,,21,20,,21,20,,21,20,,21,18,,22,23,,8.74
69,17,,50,14,,52,10,,53,14,,53,13,,22,21,,21,21,,21,19,,21,20,,18,22,,8.32
66,16,,58,16,,53,12,,52,15,,55,14,,22,21,,20,21,,21,18,,21,20,,22,22,,8.33
33,9,,49,10,,32,8,,40,10,,47,15,,20,18,,19,22,,21,18,,21,20,,20,18,,6.22
39,8,,44,8,,32,8,,40,11,,42,14,,13,15,,17,17,,17,18,,20,18,,14,6,,0
17,5,,32,10,,32,9,,38,10,,44,14,,15,15,,14,13,,19,19,,21,19,,15,19,,0
44,17,,60,12,,37,9,,39,13,,36,13,,23,17,,20,19,,20,19,,22,18,,19,14,,6.78
68,20,,75,17,,52,16,,64,17,,64,17,,23,21,,22,21,,23,20,,22,21,,23,22,,9.56
60,19,,63,11,,51,12,,55,12,,62,19,,21,20,,20,20,,20,20,,22,23,,22,21,,8.63
13,5,,40,11,,19,4,,24,12,,42,11,,12,0,,12,12,,16,17,,17,15,,14,0,,0
32,8,,44,12,,36,11,,36,12,,50,14,,14,17,,15,16,,17,19,,21,19,,17,18,,5.93
66,15,,51,11,,42,9,,48,17,,47,15,,19,19,,18,20,,19,19,,21,19,,21,20,,7.96
52,18,,60,10,,45,9,,50,13,,56,18,,22,19,,20,20,,22,18,,22,21,,20,21,,8
32,10,,45,13,,32,9,,40,12,,43,16,,19,15,,18,19,,23,18,,22,18,,21,14,,5.89
25,5,,44,8,,32,8,,42,8,,49,13,,18,19,,18,18,,18,18,,21,19,,20,18,,0
32,12,,62,8,,42,8,,42,9,,54,12,,22,17,,18,19,,20,18,,22,20,,20,12,,6.59
71,19,,72,17,,66,14,,54,14,,66,20,,22,22,,21,21,,21,18,,22,20,,22,20,,9.52
36,16,,58,16,,48,12,,55,15,,61,15,,23,21,,17,20,,21,18,,19,21,,18,0,,7.81
52,17,,55,14,,44,15,,66,15,,65,17,,22,21,,21,22,,20,19,,22,21,,23,23,,8.37
19,7,,40,10,,32,7,,32,8,,36,11,,15,13,,17,18,,18,19,,22,21,,21,19,,0
44,14,,58,13,,37,13,,58,10,,63,17,,21,17,,17,18,,20,20,,22,22,,21,20,,7.81
43,12,,33,13,,41,11,,32,14,,39,14,,22,23,,18,12,,20,18,,21,20,,0,0,,6.37
47,12,,41,8,,43,9,,46,11,,43,9,,19,15,,17,15,,21,16,,23,17,,19,19,,6.37
66,16,,71,19,,72,20,,72,20,,65,15,,23,23,,23,24,,23,24,,23,21,,24,24,,10
71,17,,74,19,,69,16,,72,18,,69,16,,20,22,,20,21,,20,20,,22,21,,19,19,,9.93
65,19,,65,19,,50,9,,63,18,,48,8,,21,22,,23,23,,22,17,,20,15,,21,21,,8.7
62,16,,64,17,,65,18,,68,20,,67,19,,20,21,,23,24,,23,23,,21,22,,22,22,,9.81
73,20,,73,20,,69,17,,73,20,,70,18,,23,24,,23,24,,23,22,,24,23,,24,24,,10
43,11,,52,17,,40,9,,38,8,,50,16,,17,19,,20,15,,20,16,,20,20,,19,19,,6.59
56,12,,65,18,,55,11,,56,12,,61,15,,20,21,,22,19,,22,18,,22,20,,20,20,,8.41
60,16,,65,19,,56,13,,60,16,,59,15,,19,21,,20,20,,22,19,,23,21,,19,19,,8.85
53,13,,45,8,,50,11,,47,9,,47,9,,17,14,,19,15,,22,18,,19,15,,20,20,,6.89
52,11,,52,11,,56,14,,50,10,,50,10,,18,16,,20,16,,20,19,,21,17,,20,20,,7.56
